Sample,Cloud,Plate,COPE5.a,COPE5.b,COPE9.a,COPE9.b,COPE10.a,COPE10.b,CPER26.a,CPER26.b,CPER52.a,CPER52.b,CPER92.a,CPER92.b,CPER99.a,CPER99.b,CPER119.a,CPER119.b,CPER188.a,CPER188.b
10COPE-0171,COPE-M-10,P2,227,283,170,170,NA,NA,150,152,NA,NA,293,303,166,166,166,166,287,291
10COPE-0172,COPE-M-10,P2,135,215,170,174,NA,NA,150,150,192,246,293,293,166,166,156,158,283,287
10COPE-0173,COPE-M-10,P2,139,183,158,170,NA,NA,152,156,NA,NA,293,293,NA,NA,162,162,287,301
10COPE-0174,COPE-M-10,P2,179,235,158,170,240,240,150,152,284,284,293,293,NA,NA,NA,NA,287,289
10COPE-0175,COPE-M-10,P2,227,331,166,174,176,176,152,156,192,410,293,293,166,166,160,168,283,287
10COPE-0176,COPE-M-10,P2,131,231,170,182,162,162,150,150,NA,NA,291,291,166,166,164,164,287,287
10COPE-0177,COPE-M-10,P2,203,275,162,162,252,252,148,148,456,456,293,295,166,166,160,160,287,287
10COPE-0178,COPE-M-10,P2,131,155,182,182,212,230,150,152,NA,NA,289,293,166,166,154,154,287,291
10COPE-0179,COPE-M-10,P2,259,355,170,170,180,180,150,152,260,260,293,293,166,166,158,160,287,289
09COPE-0180,COPE-M-09,P2,139,267,162,170,170,170,148,150,284,284,293,293,166,166,NA,NA,277,287
09COPE-0181,COPE-M-09,P2,259,263,162,170,184,184,150,152,NA,NA,293,293,NA,NA,158,158,287,287
09COPE-0182,COPE-M-09,P2,279,287,170,170,NA,NA,150,150,280,280,295,295,166,166,156,156,287,287
09COPE-0183,COPE-M-09,P2,135,207,170,170,NA,NA,150,150,410,410,293,293,166,166,160,182,287,287
09COPE-0184,COPE-M-09,P2,131,131,174,174,NA,NA,150,152,284,284,295,295,166,166,156,174,287,287
09COPE-0185,COPE-M-09,P2,127,151,170,170,240,240,150,150,252,274,293,293,166,166,166,166,287,291
